SiteName,MonitorDate,Concentration,ItemUnit
恆春,2018-12-13,4,μg/m3
屏東,2018-12-13,33,μg/m3
前金,2018-12-13,32,μg/m3
林園,2018-12-13,37,μg/m3
美濃,2018-12-13,27,μg/m3
臺南,2018-12-13,30,μg/m3
新營,2018-12-13,27,μg/m3
嘉義,2018-12-13,28,μg/m3
朴子,2018-12-13,25,μg/m3
斗六,2018-12-13,24,μg/m3
南投,2018-12-13,19,μg/m3
彰化,2018-12-13,15,μg/m3
忠明,2018-12-13,14,μg/m3
豐原,2018-12-13,12,μg/m3
三義,2018-12-13,12,μg/m3
苗栗,2018-12-13,12,μg/m3
新竹,2018-12-13,11,μg/m3
竹東,2018-12-13,7,μg/m3
平鎮,2018-12-13,12,μg/m3
桃園,2018-12-13,12,μg/m3
萬華,2018-12-13,11,μg/m3
士林,2018-12-13,6,μg/m3
板橋,2018-12-13,,μg/m3
汐止,2018-12-13,13,μg/m3
基隆,2018-12-13,11,μg/m3
馬公,2018-12-10,6,μg/m3
金門,2018-12-10,14,μg/m3
馬祖,2018-12-10,4,μg/m3
宜蘭,2018-12-10,,μg/m3
陽明,2018-12-10,,μg/m3
花蓮,2018-12-10,3,μg/m3
臺東,2018-12-10,4,μg/m3
恆春,2018-12-10,3,μg/m3
屏東,2018-12-10,35,μg/m3
前金,2018-12-10,28,μg/m3
林園,2018-12-10,38,μg/m3
美濃,2018-12-10,21,μg/m3
臺南,2018-12-10,19,μg/m3
新營,2018-12-10,14,μg/m3
嘉義,2018-12-10,17,μg/m3
朴子,2018-12-10,14,μg/m3
斗六,2018-12-10,16,μg/m3
南投,2018-12-10,13,μg/m3
彰化,2018-12-10,11,μg/m3
忠明,2018-12-10,11,μg/m3
豐原,2018-12-10,8,μg/m3
三義,2018-12-10,9,μg/m3
苗栗,2018-12-10,8,μg/m3
新竹,2018-12-10,7,μg/m3
竹東,2018-12-10,5,μg/m3
平鎮,2018-12-10,6,μg/m3
桃園,2018-12-10,5,μg/m3
萬華,2018-12-10,5,μg/m3
士林,2018-12-10,4,μg/m3
板橋,2018-12-10,5,μg/m3
汐止,2018-12-10,3,μg/m3
基隆,2018-12-10,3,μg/m3
馬公,2018-12-07,7,μg/m3
金門,2018-12-07,7,μg/m3
馬祖,2018-12-07,4,μg/m3
宜蘭,2018-12-07,2,μg/m3
陽明,2018-12-07,,μg/m3
花蓮,2018-12-07,3,μg/m3
臺東,2018-12-07,4,μg/m3
恆春,2018-12-07,4,μg/m3
屏東,2018-12-07,44,μg/m3
前金,2018-12-07,41,μg/m3
林園,2018-12-07,49,μg/m3
美濃,2018-12-07,30,μg/m3
臺南,2018-12-07,22,μg/m3
新營,2018-12-07,18,μg/m3
嘉義,2018-12-07,18,μg/m3
朴子,2018-12-07,14,μg/m3
斗六,2018-12-07,14,μg/m3
南投,2018-12-07,10,μg/m3
彰化,2018-12-07,7,μg/m3
忠明,2018-12-07,6,μg/m3
豐原,2018-12-07,5,μg/m3
三義,2018-12-07,4,μg/m3
苗栗,2018-12-07,5,μg/m3
新竹,2018-12-07,5,μg/m3
竹東,2018-12-07,,μg/m3
平鎮,2018-12-07,5,μg/m3
桃園,2018-12-07,5,μg/m3
萬華,2018-12-07,3,μg/m3
士林,2018-12-07,,μg/m3
板橋,2018-12-07,4,μg/m3
汐止,2018-12-07,3,μg/m3
基隆,2018-12-07,3,μg/m3
馬公,2018-12-04,14,μg/m3
金門,2018-12-04,55,μg/m3
馬祖,2018-12-04,36,μg/m3
宜蘭,2018-12-04,14,μg/m3
陽明,2018-12-04,5,μg/m3
花蓮,2018-12-04,7,μg/m3
臺東,2018-12-04,6,μg/m3
恆春,2018-12-04,5,μg/m3
屏東,2018-12-04,19,μg/m3
前金,2018-12-04,19,μg/m3
林園,2018-12-04,23,μg/m3
美濃,2018-12-04,17,μg/m3
臺南,2018-12-04,20,μg/m3
新營,2018-12-04,21,μg/m3
嘉義,2018-12-04,17,μg/m3
朴子,2018-12-04,28,μg/m3
斗六,2018-12-04,16,μg/m3
南投,2018-12-04,15,μg/m3
彰化,2018-12-04,15,μg/m3
忠明,2018-12-04,18,μg/m3
豐原,2018-12-04,10,μg/m3
三義,2018-12-04,10,μg/m3
苗栗,2018-12-04,13,μg/m3
新竹,2018-12-04,17,μg/m3
竹東,2018-12-04,12,μg/m3
平鎮,2018-12-04,18,μg/m3
桃園,2018-12-04,17,μg/m3
萬華,2018-12-04,16,μg/m3
士林,2018-12-04,14,μg/m3
板橋,2018-12-04,20,μg/m3
汐止,2018-12-04,18,μg/m3
基隆,2018-12-04,16,μg/m3
馬公,2018-12-01,21,μg/m3
金門,2018-12-01,28,μg/m3
馬祖,2018-12-01,24,μg/m3
宜蘭,2018-12-01,15,μg/m3
陽明,2018-12-01,12,μg/m3
花蓮,2018-12-01,13,μg/m3
臺東,2018-12-01,14,μg/m3
恆春,2018-12-01,13,μg/m3
屏東,2018-12-01,33,μg/m3
前金,2018-12-01,36,μg/m3
林園,2018-12-01,29,μg/m3
美濃,2018-12-01,21,μg/m3
臺南,2018-12-01,37,μg/m3
新營,2018-12-01,43,μg/m3
嘉義,2018-12-01,50,μg/m3
朴子,2018-12-01,38,μg/m3
斗六,2018-12-01,50,μg/m3
南投,2018-12-01,46,μg/m3
彰化,2018-12-01,56,μg/m3
忠明,2018-12-01,50,μg/m3
豐原,2018-12-01,44,μg/m3
三義,2018-12-01,46,μg/m3
苗栗,2018-12-01,47,μg/m3
新竹,2018-12-01,44,μg/m3
竹東,2018-12-01,31,μg/m3
平鎮,2018-12-01,39,μg/m3
桃園,2018-12-01,31,μg/m3
萬華,2018-12-01,17,μg/m3
士林,2018-12-01,16,μg/m3
板橋,2018-12-01,21,μg/m3
汐止,2018-12-01,15,μg/m3
基隆,2018-12-01,13,μg/m3
馬公,2018-11-28,11,μg/m3
金門,2018-11-28,27,μg/m3
馬祖,2018-11-28,25,μg/m3
宜蘭,2018-11-28,11,μg/m3
陽明,2018-11-28,9,μg/m3
花蓮,2018-11-28,10,μg/m3
臺東,2018-11-28,5,μg/m3
恆春,2018-11-28,4,μg/m3
屏東,2018-11-28,26,μg/m3
前金,2018-11-28,30,μg/m3
林園,2018-11-28,36,μg/m3
美濃,2018-11-28,17,μg/m3
臺南,2018-11-28,22,μg/m3
新營,2018-11-28,19,μg/m3
嘉義,2018-11-28,22,μg/m3
朴子,2018-11-28,16,μg/m3
斗六,2018-11-28,21,μg/m3
南投,2018-11-28,18,μg/m3
彰化,2018-11-28,14,μg/m3
忠明,2018-11-28,13,μg/m3
豐原,2018-11-28,9,μg/m3
三義,2018-11-28,11,μg/m3
苗栗,2018-11-28,15,μg/m3
新竹,2018-11-28,16,μg/m3
竹東,2018-11-28,12,μg/m3
平鎮,2018-11-28,17,μg/m3
桃園,2018-11-28,17,μg/m3
萬華,2018-11-28,14,μg/m3
士林,2018-11-28,14,μg/m3
板橋,2018-11-28,15,μg/m3
汐止,2018-11-28,15,μg/m3
基隆,2018-11-28,13,μg/m3
馬公,2018-11-25,10,μg/m3
金門,2018-11-25,16,μg/m3
馬祖,2018-11-25,13,μg/m3
宜蘭,2018-11-25,9,μg/m3
陽明,2018-11-25,9,μg/m3
花蓮,2018-11-25,9,μg/m3
臺東,2018-11-25,8,μg/m3
恆春,2018-11-25,8,μg/m3
屏東,2018-11-25,28,μg/m3
前金,2018-11-25,22,μg/m3
林園,2018-11-25,31,μg/m3
美濃,2018-11-25,23,μg/m3
臺南,2018-11-25,18,μg/m3
新營,2018-11-25,23,μg/m3
嘉義,2018-11-25,24,μg/m3
朴子,2018-11-25,24,μg/m3
斗六,2018-11-25,34,μg/m3
南投,2018-11-25,24,μg/m3
彰化,2018-11-25,25,μg/m3
忠明,2018-11-25,20,μg/m3
豐原,2018-11-25,21,μg/m3
三義,2018-11-25,20,μg/m3
苗栗,2018-11-25,25,μg/m3
新竹,2018-11-25,29,μg/m3
