MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
H01076,桃園市大園區環區東路380號前落地形變壓器量測,2017-07-20,桃園市,大園區,環區東路380號,落地型變壓器,17,mG,True
Q10282,三興路101號對面,2017-08-04,嘉義縣,民雄鄉,三興路101號對面,落地型變壓器,6.542,mG,True
X10196,馬公市陽明路32號前落地型變電器,2017-07-19,澎湖縣,馬公市,馬公市陽明路32號前,落地型變壓器,3.8,mG,True
X10195,馬公市文化路11號前落地型變電器,2017-07-19,澎湖縣,馬公市,馬公市文化路11號前,落地型變壓器,25,mG,True
X10194,馬公市福朋喜來登前落地型變電器,2017-07-14,澎湖縣,馬公市,馬公市福朋喜來登前,落地型變壓器,0.9,mG,True
D00987,永康區農會前落地型變壓器量測(Q0395、EE39),2017-07-19,臺南市,永康區,永康區農會,落地型變壓器,1.992,mG,True
Q10274,太保市保鐵二路停車場右側,2017-07-27,嘉義縣,太保市,太保市保鐵二路停車場右側,落地型變壓器,1.8,mG,True
Q10273,太保市保鐵七路上,2017-07-27,嘉義縣,太保市,太保市保鐵七路上,落地型變壓器,1.194,mG,True
D00986,永康區就業中心前落地型變壓器量測(O0495、BC51),2017-07-19,臺南市,永康區,永康區就業中心,落地型變壓器,40.15,mG,True
Q10272,太保市保鐵一路嘉縣府0163號路燈旁,2017-08-03,嘉義縣,太保市,太保市保鐵一路嘉縣府0163號路燈旁,落地型變壓器,1.804,mG,True
Q10271,太保市保鐵一路嘉縣府0162號路燈旁,2017-08-03,嘉義縣,太保市,太保市保鐵一路嘉縣府0162號路燈旁,落地型變壓器,1.876,mG,True
Q10270,太保市台37線與保鐵一路路口,2017-08-03,嘉義縣,太保市,太保市台37線與保鐵一路路口,落地型變壓器,2.581,mG,True
Q10269,太保市台37線嘉縣府0407路燈旁,2017-07-27,嘉義縣,太保市,太保市台37線嘉縣府0407路燈旁,落地型變壓器,2.159,mG,True
Q10268,溪口鄉美北村南崙幹21左支6左分10,2017-07-24,嘉義縣,溪口鄉,溪口鄉美北村南崙幹21左支6左分10,手機基地臺,0.00285,mW/cm<sup>2</sup>,True
Q10265,義竹鄉嘉22線約4公里處,2017-07-24,嘉義縣,義竹鄉,義竹鄉嘉22線約4公里處,手機基地臺,0.00296,mW/cm<sup>2</sup>,True
D00988,永康區探索教育公園北側落地型變壓器量測(Q0494、AA67),2017-07-19,臺南市,永康區,探索教育公園,落地型變壓器,0.976,mG,True
X10192,馬公市案山里經國路46號前落地型變電器,2017-07-14,澎湖縣,馬公市,馬公市案山里經國路46號前,落地型變壓器,2.9,mG,True
X10193,馬公市文光路全聯停車場旁落地型變電器,2017-07-14,澎湖縣,馬公市,馬公市文光路全聯停車場旁,落地型變壓器,12.1,mG,True
E01135,LE106-07-001,2017-07-25,高雄市,鳳山區,高雄市鳳山區誠義路189號附近,落地型變壓器,39.796,mG,True
U10484,玉里郵局前落地型變壓器量測,2017-08-16,花蓮縣,玉里鎮,光復路125號,落地型變壓器,7,mG,True
X10203,馬公市中正路多那之旁落地型變電器,2017-08-10,澎湖縣,馬公市,中正路多那之旁,落地型變壓器,209.8,mG,True
A01208,八德路四段610號無線網路電磁波量測,2017-07-24,臺北市,松山區,八德路四段610號,無線區域網路(Wi-Fi),0.001641,mW/cm<sup>2</sup>,True
A01204,南港路三段49號旁落地型變壓器量測,2017-07-24,臺北市,南港區,南港路三段49號,落地型變壓器,9.8,mG,True
A01203,忠孝東路與松信路口落地型變壓器量測,2017-07-24,臺北市,信義區,忠孝東路與松信路口,落地型變壓器,10.8,mG,True
A01202,忠孝東路五段289號旁落地型變壓器量測,2017-07-24,臺北市,信義區,忠孝東路五段289號,落地型變壓器,4.5,mG,True
U10479,海岸路199號對面落地型變壓器量測,2017-07-13,花蓮縣,吉安鄉,海岸路154號,落地型變壓器,75.5,mG,True
A01201,八德路四段827號對面,2017-07-24,臺北市,松山區,八德路四段827號對面,落地型變壓器,4.1,mG,True
A01199,八德路四段795號對面落地型變壓器量測,2017-07-24,臺北市,松山區,八德路四段795號對面,落地型變壓器,10.8,mG,True
U10478,北濱街2之2號對面落地型變壓器量測,2017-07-13,花蓮縣,花蓮市,北濱街2之2號對面,落地型變壓器,25,mG,True
E01134,HE106-07-001,2017-07-25,高雄市,苓雅區,高雄市苓雅區三多二路171號13F,手機基地臺,0.0451,mW/cm<sup>2</sup>,True
A01213,饒河街253號無線網路電磁波量測,2017-07-24,臺北市,松山區,饒河街253號,無線區域網路(Wi-Fi),0.000689,mW/cm<sup>2</sup>,True
A01212,舊宗路和新湖二路交岔口無線網路電磁波量測,2017-07-27,臺北市,內湖區,舊宗路和新湖二路交岔口,無線區域網路(Wi-Fi),0.001423,mW/cm<sup>2</sup>,True
A01211,南港路三段50巷口無線網路電磁波量測,2017-07-24,臺北市,南港區,南港路三段50巷口,無線區域網路(Wi-Fi),0.001629,mW/cm<sup>2</sup>,True
A01210,南港路三段9號無線網路電磁波量測,2017-07-24,臺北市,南港區,南港路三段9號,無線區域網路(Wi-Fi),0.000629,mW/cm<sup>2</sup>,True
A01209,行善路與舊宗路交叉口無線網路電磁波量測,2017-07-24,臺北市,內湖區,行善路與舊宗路交叉口,無線區域網路(Wi-Fi),0.000568,mW/cm<sup>2</sup>,True
A01200,八德路四段817號對面落地型變壓器量測,2017-07-24,臺北市,松山區,八德路四段817號,落地型變壓器,5.3,mG,True
U10477,北濱街8號對面落地型變壓器量測,2017-07-13,花蓮縣,花蓮市,北濱街9巷6號旁,落地型變壓器,8.5,mG,True
E01130,HE106-06-002 (FM金聲廣播電臺),2017-06-13,高雄市,苓雅區,高雄市苓雅區光華ㄧ路206號25樓附近,FM廣播電臺,0.0015,mW/cm<sup>2</sup>,True
U10475,林介公園門口落地型變壓器量測,2017-07-10,花蓮縣,花蓮市,介林九街17號對面,落地型變壓器,9.2,mG,True
A01194,信義區公所正門左側-落地型變壓器量測,2017-07-10,臺北市,信義區,信義區公所正門左側,落地型變壓器,18.8,mG,True
